Производитель;ИНН;Признак;Тип;Режим;Regex;Обоснование
"ПАО ""КАМАЗ""";1650032058;КАМАЗ;Бренд / товарное обозначение;Точное совпадение;(?<![\\w])КАМАЗ(?:-[0-9][A-Za-zА-Яа-я0-9._/\\-]*)?(?![\\w]);v15 real-regression: brand/model residual without factory context
"ООО ""Терма""";7811380395;ТЕРМА-СТМП;Фирменная серия / модель;Начало фирменного обозначения;;Фирменное семейство термоусаживаемых манжет
"ЗАО ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ХИМСЕРВИС"" ИМЕНИ А.А. ЗОРИНА""";7116001422;МЕНДЕЛЕЕВЕЦ;Бренд / товарное обозначение;Точное совпадение;;Товарный знак производителя
"ЗАО ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ХИМСЕРВИС"" ИМЕНИ А.А. ЗОРИНА""";7116001422;СМЭС-2-10;Фирменная серия / модель;Начало фирменного обозначения;(?<![\\w])СМЭС-2(?:-[0-9]+)?(?![\\w]);v15 real-regression: confirmed model family residual
"АО ""Морозовский химический завод""";4703068137;Армокот;Бренд / товарное обозначение;Точное совпадение;(?<![\\w])Армокот(?:\\s+F100)?(?![\\w]);v15 real-regression: brand + confirmed material execution
"ООО ""Донкабель""";6128008660;ГЕРДА-КВК;Бренд / товарное обозначение;Начало фирменного обозначения;;Собственная марка монтажного кабеля
"ООО ""Донкабель""";6128008660;ГЕРДА-КВ;Бренд / товарное обозначение;Начало фирменного обозначения;;Собственная марка монтажного кабеля
"АО ""ДКС""";6905062011;In-liner;Фирменное обозначение;Начало фирменного обозначения;(?<![\\w])In-Liner(?:\\s+FRONT)?(?![\\w]);v15 real-regression: confirmed DKC product family
"ООО ""Инициатива""";7716050936;ПСС-10-М;Фирменная серия / модель;Начало фирменного обозначения;;Фирменная текущая серия пункта секционирования
"ООО ""Инициатива""";7716050936;ПСС-10;Фирменная серия / модель;Начало фирменного обозначения;;Серия пункта секционирования производителя
"ООО ""К-ФЛЕКС""";5017057156;K-FLEX ST;Бренд / товарное обозначение;Начало фирменного обозначения;(?<![\\w])K-FLEX(?:\\s+ST)?(?![\\w]);v15 real-regression: confirmed insulation brand/line
"ООО ""РЭМНЕФТЕГАЗ""";7725126300;Экотрасса-уклон;Бренд / товарное обозначение;Точное совпадение;;Фирменная защитная система
"ООО ""РЭМНЕФТЕГАЗ""";7725126300;Экотрасса;Бренд / товарное обозначение;Точное совпадение;;Фирменная защитная система
"ООО ""КНАУФ ГИПС""";5024051564;КНАУФ;Фирменное обозначение с префиксом;Слитное/дефисное обозначение;;"Удалять целое обозначение, начинающееся с «КНАУФ» без пробела; обычный текст отдельно не трогать."
"ООО ""НПП ""БИУРС""";7810764159;БИУРС;Бренд / товарное обозначение;Точное совпадение;;БИУРС — собственное наименование системы антикоррозионного покрытия по ТУ 2458-010-76220767-2015.
"ООО ""Группа ПОЛИПЛАСТИК""";5021013384;КОРСИС;Бренд / товарное обозначение;Начало фирменного обозначения;;Фирменная линейка труб
"НВП ""БОЛИД""";5018000402;С2000-4;Фирменная серия / модель;Начало фирменного обозначения;;Фирменная модель приемно-контрольного прибора
"ОАО ""Вэлан""";2619000120;ВЭЛАН;Фирменное обозначение;Начало фирменного обозначения;;Официальный ВЭЛАН перечисляет линейки ВЭЛАН-01… и другие изделия с брендом ВЭЛАН.
"ООО ""РАДИАНТ""";7722756504;Радиант;Бренд / товарное обозначение;Точное совпадение;;v15 final PDF regression: бренд в наименовании совпадает с поставщиком ООО «РАДИАНТ» в той же позиции
"ООО Калужский электротехнический завод ""КВТ""";7720652073;NORD;Фирменная серия / модель;Точное совпадение;;v15 final OCR regression: серия МРПИнг NORD подтверждена документацией КВТ
"ООО Калужский электротехнический завод ""КВТ""";7720652073;«NORD»;Фирменная серия / модель;Точное совпадение;;v15 final OCR: удалять серию вместе с кавычками
