source;sheet;row;code;resolved_factory;inn;name;output;status;changed;applied;problems
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1966;630-351988;"ООО ""Лабораторная мебель ""Аналитика"", Россия, г. Омск, ИНН 5501124119, КПП 550301001, sales@analytica-lab.ru";5501124119;Мойка одинарная, рабочая поверхность: нержавеющая сталь, материал раковины: нержавеющая сталь, глубина раковины, мм: 150, сушильный стеллаж, брызгозащитный экран (нержавеющая сталь) высота 400 мм, габаритные размеры, мм: 600х600х900. Дополнительно: одинарный душ для глаз настольного исполнения: TOFF Модель KC1Y МОС-Н600Н-БэНж ГОСТ 16371-2014. Масса-0,045 т.;Мойка одинарная, рабочая поверхность: нержавеющая сталь, материал раковины: нержавеющая сталь, глубина раковины, мм: 150, сушильный стеллаж, брызгозащитный экран (нержавеющая сталь) высота 400 мм, габаритные размеры, мм: 600х600х900. Дополнительно: одинарный душ для глаз настольного исполнения: TOFF Модель KC1Y МОС-Н600Н-БэНж ГОСТ 16371-2014. Масса-0,045 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;293;630-393255;"ООО ""АЭРО ИКСИА"", Россия, г. Брянск, ИНН 3257017280, КПП 526101001, aero@ixia.su";3257017280;Установка приточная с комплектом автоматики СКВ BOX(S)-S-8 (раб., рез.) по типу ТУ 4862-001-22330703-2014 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ОВ.ОЛ3 инв.№10173973, 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ОВ.Н3 инв.№10173974. Масса-0,902 т.;Установка приточная с комплектом автоматики СКВ BOX(S)-S-8 (раб., рез.) комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ОВ.ОЛ3 инв.№10173973, 0092.049.Р.13/1.0004.УКПГ.045.0507.022-ОВ.Н3 инв.№10173974. Масса-0,902 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;816;604-514552-Ш;"ПАО ""Газпром Автоматизация"", ИНН 7704028125";7704028125;"Шефмонтажные работы. Подстанция двухтрансформаторная блочно-комплектная; электрической мощностью 1600кВа, частотой 50 Гц; модульного исполнения; с номинальным напряжением 10/0,4 кВ; с трансформатором трехфазным, сухим, с естественным воздушным охлаждением при защищенном исполнении, с алюминиевой обмоткой; с схемой и группой соединений трансформатора треугольник  звезда с 0; с двусторонним типом обслуживания; с наличием УКРМ, мощностью 300 кВар; со степенью регулировки УКРМ  25 кВар; с наличием АВР; с наличием аварийного ввода от ДЭС; с номинальным током сборных шин 630/2500; с наличием СОПТ; с распределительным устройством; с прибором учета электроэнергии на вводе 0,4 кВ; с наличием высоковольтной ячейки; с наличием ОПН; в сейсмостойком исполнении; климатического исполнения УХЛ (умеренного и холодного климата), категория размещения 1 (на открытом воздухе согласно ГОСТ 15150-69 2-БКТП-1600-М-10/0,4-СЗ(Al)-Д/У-Д-УКРМ-300-25-0-АВР-А-630/2500-СОПТ-РУ-УЭВ-УЭЛ-УВН-ОПН-0-0-С-УХЛ-1. по типу ТУ 3412-020-04601386-2011. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4507.065-ЭМ.ОЛ (изм.1).";"Шефмонтажные работы. Подстанция двухтрансформаторная блочно-комплектная; электрической мощностью 1600кВа, частотой 50 Гц; модульного исполнения; с номинальным напряжением 10/0,4 кВ; с трансформатором трехфазным, сухим, с естественным воздушным охлаждением при защищенном исполнении, с алюминиевой обмоткой; с схемой и группой соединений трансформатора треугольник звезда с 0; с двусторонним типом обслуживания; с наличием УКРМ, мощностью 300 кВар; со степенью регулировки УКРМ 25 кВар; с наличием АВР; с наличием аварийного ввода от ДЭС; с номинальным током сборных шин 630/2500; с наличием СОПТ; с распределительным устройством; с прибором учета электроэнергии на вводе 0,4 кВ; с наличием высоковольтной ячейки; с наличием ОПН; в сейсмостойком исполнении; климатического исполнения УХЛ (умеренного и холодного климата), категория размещения 1 (на открытом воздухе согласно ГОСТ 15150-69 2-БКТП-1600-М-10/0,4-СЗ(Al)-Д/У-Д-УКРМ-300-25-0-АВР-А-630/2500-СОПТ-РУ-УЭВ-УЭЛ-УВН-ОПН-0-0-С-УХЛ-1. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4507.065-ЭМ.ОЛ (изм.1)";ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1430;658-474338;"ООО ""Вольтаг"", ИНН 6679118130";6679118130;Агрегат бесперебойного питания СБПМ.435341.001ТУ Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4408.105-ЭМ3.ОЛ2 инв.№046817/0004.;Агрегат бесперебойного питания Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.4408.105-ЭМ3.ОЛ2 инв.№046817/0004;ЗЕЛЁНЫЙ;True;СБПМ.;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2143;644-472668;"ООО ПКП ""ГазПремиум"", ИНН 6452951387";6452951387;Регистр однорядный из трех гладких труб 133х4 длиной 1,0м, в комплекте с опорами и экраном, с покрытием АРМОКОТ F100 ( цвет серый 7004 RAL D2 DESIGN) по ТУ 2312-009-23354769-2008 РГТ-1-133х4-1м-3-ОП-Э ТУ 4936-001-69441315-11.;Регистр однорядный из трех гладких труб 133х4 длиной 1,0м, в комплекте с опорами и экраном, с покрытием АРМОКОТ F100 ( цвет серый 7004 RAL D2 DESIGN) по РГТ-1-133х4-1м-3-ОП-Э;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1492;23-274939-С;"ООО ""Арматурный завод"", ИНН 0278170037";0278170037;Кран шаровой двухходовой условного диаметра DN 20 PN 16 кгс/см2 (1,6 МПа) с ручным приводом, тип присоединения к трубопроводу - муфтовое с трубной резьбой G 3/4, основной материал деталей- 09Г2С, материал уплотнения - PTFE КШ.1.фт-20-16.09Г2С.MG1.р1 по типу ТУ 3742-016-64164940-2011.;Кран шаровой двухходовой условного диаметра DN 20 PN 16 кгс/см2 (1,6 МПа) с ручным приводом, тип присоединения к трубопроводу - муфтовое с трубной резьбой G 3/4, основной материал деталей- 09Г2С, материал уплотнения - PTFE КШ.1.фт-20-16.09Г2С.MG1.р1;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;239;641-393413;"ООО ""ГенПроВектор"", Россия, г. Нижний Новгород, ИНН 3257032024, КПП 526101001, info@gp-v.ru";3257032024;Блок-бокс канализационной насосной станции промышленных сточных вод Q-15м3/ч, H-35м по типу ТУ 28.99.39-001-29503638-2020 Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.2018.003-ВК.ОЛ инв.№10172208. Масса-12,98 т.;Блок-бокс канализационной насосной станции промышленных сточных вод Q-15м3/ч, H-35м Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.2018.003-ВК.ОЛ инв.№10172208. Масса-12,98 т;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;1437;101-90480-В7;"ООО ""К-ФЛЕКС"", ИНН 5017057156";5017057156;"Грунт-эмаль СБЭ-111 ""Унипол"" марки В-СЭ";"Грунт-эмаль СБЭ-111 ""Унипол"" марки В-СЭ";ЗЕЛЁНЫЙ;False;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1415;6310-418604;"ООО НПО ""Турбулентность-Дон"" , ИНН 6141021685";6141021685;"Расходомер-счетчик газа ультразвуковой ""Turbo Flow"" UFG-F ТУ 4213-012-70670506-2013 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0019.005-АТХ1.ОЛ1 инв.№10171487.";Расходомер-счетчик газа ультразвуковой комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.0019.005-АТХ1.ОЛ1 инв.№10171487;ЗЕЛЁНЫЙ;True;Turbo Flow | UFG-F;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1027;605-491870-Ш;"ООО ""АЭРО ИКСИА"", ИНН 3257017280";3257017280;Шефмонтажные работы. Установка приточная с комплектом автоматики KAС-W, комплектом запасных фильтров и узлом терморегулирования СКВ(S)-S-3,15 ТУ 4862-001-22330703-2014 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.3313.003-ОВ.ОЛ10 (изм.2), 0092.049.Р.13/1.0004.ВЖК.000.3313.003-ОВ.Н10.;Шефмонтажные работы. Установка приточная с комплектом автоматики KAС-W, комплектом запасных фильтров и узлом терморегулирования СКВ(S)-S-3,15 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.ВЖК.000.3313.003-ОВ.ОЛ10 (изм.2), 0092.049.Р.13/1.0004.ВЖК.000.3313.003-ОВ.Н10;ЗЕЛЁНЫЙ;True;;
009256_УСВР_СМР_1-7_КАЗ(1).xlsx;Готово;2441;13-399390-С;"АО ""Руст-95"", Россия, Санкт-Петербург, ИНН 7728120384, КПП 781701001, contact@roost95.ru";7728120384;Клапан регулирующий фланцевый DN 80 ANSI 1500 с ручным приводом по типу ТУ 3742-002-41554973-98 комплектация по обосновывающему документу 0092.049.Р.13/1.0004.Кг.424.0000.000-ТХ2.ОЛ10-2 инв.№10171431.;Клапан регулирующий фланцевый DN 80 ANSI 1500 с ручным приводом комплектация по обосновывающему документу 0092.049.Р.13/1.0004.Кг.424.0000.000-ТХ2.ОЛ10-2 инв.№10171431;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2218;630-282063;"ООО ""ВЕЗА"", Россия, Москва, ИНН 7720040225, КПП 505001001, info@veza.ru";7720040225;"Клапан, рабочее сечение H(высота)хB(ширина)-1300х1300 мм; исполнение общепромышленное с лопатками из алюминия; с одним ручным приводом; размещение внутри помещения; климатическое исполнение УХЛ2; без защиты от кражи электропривода ГЕРМИК-Р-1300х1300-Н-1-РУЧКА-1-УХЛ2-0 по типу ТУ 4863-135-40149153-2009№ 50-023-044933 от 13 октября 2023 г. п. 19. Масса-0,045 т.";"Клапан, рабочее сечение H(высота)хB(ширина)-1300х1300 мм; исполнение общепромышленное с лопатками из алюминия; с одним ручным приводом; размещение внутри помещения; климатическое исполнение УХЛ2; без защиты от кражи электропривода УХЛ2 № 50-023-044933 от 13 октября 2023 г. п. 19. Масса-0,045 т";ЗЕЛЁНЫЙ;True;ГЕРМИК;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2457;103-135137-С;"АО ""ДКС"", Россия, г.Тверь, ИНН 6905062011, КПП 695001001, info@dkc.ru";6905062011;"Блок розеток для 19"" шкафов, 8 розеток Schuko R519SH8. Масса-0,0015 т.";"Блок розеток для 19"" шкафов, 8 розеток Schuko Масса-0,0015 т";ЗЕЛЁНЫЙ;True;R5;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2407;644-439822;"ООО ""ВЕЗА"", Россия, г. Фрязино, ИНН 7720040225, КПП 505001001, info@veza.ru";7720040225;"Клапан противопожарный, назначение - нормально закрытый; рабочее сечение 500х300 мм; тип канальный; электропривод MV220, размещен снаружи клапана; с клеммной коробкой; с воздухоприемным устройством РОН110; без монтажной рамы; без защиты от кражи электропривода ГЕРМИК-ДУ-З-500х300-2хф-МV220-СН-КК-РОН110-0-0 по типу ТУ 4863-162-40149153-2012. Масса-0,012 т.";"Клапан противопожарный, назначение - нормально закрытый; рабочее сечение 500х300 мм; тип канальный; электропривод MV220, размещен снаружи клапана; с клеммной коробкой; с воздухоприемным устройством РОН110; без монтажной рамы; без защиты от кражи электропривода Масса-0,012 т";ЗЕЛЁНЫЙ;True;ГЕРМИК;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2517;6810-196177;"ОАО ""Манотомь"", Россия, г.Томск, ИНН 7021000501, КПП 701701001, manotom@manotom-tmz.ru";7021000501;Манометр показывающий: диаметр корпуса 160 мм-нержавеющая сталь, климатическое исполнение УХЛ1, диапазон показаний от 0 до 1,6 МПа, класс точности 1,0, с радиальным штуцером без фланца, с резьбой присоединительного штуцера М20х1,5-8g, степень защиты IP54, пломба МП4-УУХЛ1-1,6 МПа-1-IP54-Пл по типу ТУ 25-02.180335-84№ 50-01/РЧ-049041 от 20 декабря 2018 г. п. 23. Масса-0,0012 т.;Манометр показывающий: диаметр корпуса 160 мм-нержавеющая сталь, климатическое исполнение УХЛ1, диапазон показаний от 0 до 1,6 МПа, класс точности 1,0, с радиальным штуцером без фланца, с резьбой присоединительного штуцера М20х1,5-8g, степень защиты IP54, пломба МПа-1-IP54-Пл № 50-01/РЧ-049041 от 20 декабря 2018 г. п. 23. Масса-0,0012 т;ЗЕЛЁНЫЙ;True;МП4-У;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1765;630-392837;"ООО ""Группа ""РГТ"", Россия, г. Москва, ИНН 9718006686, КПП 771801001, info@grouprgt.ru";9718006686;Колодец приемный. Габариты, мм - 1800х1000х885. В комплекте с ответными фланцами, прокладками и крепежом. по типу ТУ 28.99.39.190-001-02366053-2019. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.КОС.045.3721.012-ТХВ.ОЛ3 инв.№10173960. Масса-0,36 т.;Колодец приемный. Габариты, мм - 1800х1000х885. В комплекте с ответными фланцами, прокладками и крепежом. Комплектация по обосновывающему документу 0092.049.Р.13/1.0004.КОС.045.3721.012-ТХВ.ОЛ3 инв.№10173960. Масса-0,36 т;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2583;644-446931;"ООО ""ВЕЗА"", Россия, г. Фрязино, ИНН 7720040225, КПП 505001001, info@veza.ru";7720040225;"Клапан РЕГУЛЯР-Л диаметром 160мм; коррозионностойкого исполнения; с одним ручным приводом; климатическое исполнение УХЛ2; без защиты от кражи электропривода РЕГУЛЯР-Л-160-К-1хРУЧКА-УХЛ2-0 по типу ТУ 4863-135-40149153-2009. Масса-0,0021 т.";"Клапан диаметром 160мм; коррозионностойкого исполнения; с одним ручным приводом; климатическое исполнение УХЛ2; без защиты от кражи электропривода УХЛ2 Масса-0,0021 т";ЗЕЛЁНЫЙ;True;РЕГУЛЯР;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;728;654-459872;"ООО ""Самараволгомаш"" , ИНН 6314004134";6314004134;Кран шаровой DN50, PN10.0МПа, с пневмоприводом ТУ 3742-002-10995136-2007, комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.1032.102-ТХ.ОЛ46-3 инв.№026176/0004.;Кран шаровой DN50, PN10.0МПа, с пневмоприводом, комплектация по обосновывающему документу 0092.049.Р.13/1.0004.УКПГ.045.1032.102-ТХ.ОЛ46-3 инв.№026176/0004;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2523;654-463693;"ООО ""ВЕЗА"", ИНН 7720040225";7720040225;"Клапан противопожарный КПУ-1Н; нормально открытый; общепромышленного исполнения; с рабочим сечением 400х200 мм; канального типа; электропривод МV220; расположен снаружи клапана; без клеммной колодки/коробки; без дополнительной комплектации; без защиты от кражи электропривода; без переходника на круглое сечение; со стандартным исполнением по параметрам потока рабочей среды; без монтажной рамы КПУ-1Н-О-Н-400х200-2хф-МV220-СН-0-0-0-0-0-0 по типу ТУ 4863-100-40149153-07. Масса-0,008 т.";"Клапан противопожарный КПУ-1Н; нормально открытый; общепромышленного исполнения; с рабочим сечением 400х200 мм; канального типа; электропривод МV220; расположен снаружи клапана; без клеммной колодки/коробки; без дополнительной комплектации; без защиты от кражи электропривода; без переходника на круглое сечение; со стандартным исполнением по параметрам потока рабочей среды; без монтажной рамы КПУ-1Н-О-Н-400х200-2хф-МV220-СН-0-0-0-0-0-0 Масса-0,008 т";ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;1523;105-93701-С;"ООО ""Энергофинстрой"" , ИНН 7710379611";7710379611;Пункт контрольно-измерительный КИП.ЭФС.1.1.8-0 по типу ТУ 3435-005-57060080-2012.;Пункт контрольно-измерительный КИП.ЭФС.1.1.8-0;ЗЕЛЁНЫЙ;True;;
009256_СВО_1-7_98.3(1).xlsx;выборка оборудования;2469;620-313228;"АО ""Курский электроаппаратный завод"", ИНН 4629003691";4629003691;"Пускатель электромагнитный на номинальный ток 10А, 380В, исполнения по износостойкости Б, нереверсивный, с кнопками ""Пуск"" и ""Стоп"", степени защиты IP54, с 1""з"" контактом вспомогательной цепи, с включающей катушкой на напряжение 220В частоты 50Гц с диапазоном регулирования токовой уставки реле (0,63-1А), арт. 295424 ПМЛ-1230-10А-220AC-(0,63-1А)-УХЛ3-Б-КЭАЗ ТУ 3420-091-05758109-2016.";"Пускатель электромагнитный на номинальный ток 10А, 380В, исполнения по износостойкости Б, нереверсивный, с кнопками ""Пуск"" и ""Стоп"", степени защиты IP54, с 1""з"" контактом вспомогательной цепи, с включающей катушкой на напряжение 220В частоты 50Гц с диапазоном регулирования токовой уставки реле (0,63-1А), ПМЛ-1230-10А-220AC-(0,63-1А)-УХЛ3-Б";ЗЕЛЁНЫЙ;True;КЭАЗ;
