Код Autodocs;Завод;Исходное;v15;Статус;KEEP loss;Idempotence fail;Residual confirmed;Референс
173508;"ООО ""Каланча"", Россия, г.Сергиев Посад";Головка ГМ-50 напорная УХЛ1 ТУ 4854-004-18215408-2001;Головка ГМ-50 напорная УХЛ1;ЗЕЛЁНЫЙ;False;False;;Головка ГМ-50 напорная УХЛ1
66967;"ООО Фабрика ""Старт"", Россия, г.Новосибирск, ИНН 5405494759, КПП 540501001, nsk@fabrika-start.ru";"Стол бильярдный. Габариты, мм-3600х1800х800 ""Гранд""";"Стол бильярдный. Габариты, мм-3600х1800х800 ""Гранд""";ЗЕЛЁНЫЙ;False;False;;"Стол бильярдный. Габариты, мм-3600х1800х800 ""Гранд"""
435203;Motorola, Соединенные Штаты, Шомберг;"Радиостанция взрывозащищённая (MDH25KCC6AN3_EA) в составе: Батарея аккумулляторная LiIOn, 1480 мАч (NNTN5010) - 2 шт., Антенна 14см. 154-174МГц (PMAD4015) - 1 шт., Гарнитура лёгкая ATEX с оголовьем (PMLN5153)- 1 компл., Чехол кожаный повышенной прочности (GMLN1111) - 1 шт., Крепление поясное на пояс 5 см (HLN9714) - 1 шт., Инструкция пользователя для GP340Atex на бумажном носителе - 1 шт., Устройство зарядное ""быстрое"" (MDHTN3001) - 1 шт. GP-340 ATEX";"Радиостанция взрывозащищённая (MDH25KCC6AN3_EA) в составе: Батарея аккумулляторная LiIOn, 1480 мАч (NNTN5010) - 2 шт., Антенна 14см. 154-174МГц (PMAD4015) - 1 шт., Гарнитура лёгкая ATEX с оголовьем (PMLN5153)- 1 компл., Чехол кожаный повышенной прочности (GMLN1111) - 1 шт., Крепление поясное на пояс 5 см (HLN9714) - 1 шт., Инструкция пользователя для GP340Atex на бумажном носителе - 1 шт., Устройство зарядное ""быстрое"" (MDHTN3001) - 1 шт. GP-340 ATEX";ЖЁЛТЫЙ;False;False;;"Радиостанция взрывозащищённая (MDH25KCC6AN3_EA) в составе: Батарея аккумулляторная LiIOn, 1480 мАч (NNTN5010) - 2 шт., Антенна 14см. 154-174МГц (PMAD4015) - 1 шт., Гарнитура лёгкая ATEX с оголовьем (PMLN5153)- 1 компл., Чехол кожаный повышенной прочности (GMLN1111) - 1 шт., Крепление поясное на пояс 5 см (HLN9714) - 1 шт., Инструкция пользователя для GP340Atex на бумажном носителе - 1 шт., Устройство зарядное ""быстрое"" (MDHTN3001) - 1 шт. GP-340 ATEX"
206838;"ООО Концерн ""Аксион"", ИНН 1831168300";Электросушилка для рук. Мощность, кВт-1,8. Габариты, мм-250х210х250 СР11 ТУ 5156-218-49640047-2015;Электросушилка для рук. Мощность, кВт-1,8. Габариты, мм-250х210х250 СР11;ЗЕЛЁНЫЙ;False;False;;Электросушилка для рук. Мощность, кВт-1,8. Габариты, мм-250х210х250 СР11
177019;"ООО ""Производственная компания ""Северная Аврора"", Россия, Санкт-Петербург";Лоток угловой для поворота трассы на 90 град. перфорированный, из оцинкованного листа, S1,5, УХЛ1 ЛМУ 100х65-1,5-90-ГЦ ТУ 3449-036-01394366-2012;Лоток угловой для поворота трассы на 90 град. перфорированный, из оцинкованного листа, S1,5, УХЛ1 ЛМУ 100х65-1,5-90-ГЦ;ЖЁЛТЫЙ;False;False;;Лоток угловой для поворота трассы на 90 град. перфорированный, из оцинкованного листа, S1,5, УХЛ1 ЛМУ 100х65-1,5-90-ГЦ
461486;"ОАО ""Атоммашэкспорт"", Россия, г.Волгодонск, ИНН 6143005914, КПП 614301001, atomexp@atomexp.ru";Клапан регулирующий антипомпажный с пневмоприводом, для надземной установки на трубопроводе DN 500, PN 8.0 МПа, климатическое исполнение ХЛ1, в комплекте переходами, ответными фланцами и крепежом ТУ 3742-094-08847871-2007 Комплектация по обосновывающему документу 0108.012.П.32.1.1.0004.УКПГ.000.1029.707-ТХ.ОЛ46-15;Клапан регулирующий антипомпажный с пневмоприводом, для надземной установки на трубопроводе DN 500, PN 8.0 МПа, климатическое исполнение ХЛ1, в комплекте переходами, ответными фланцами и крепежом Комплектация по обосновывающему документу 0108.012.П.32.1.1.0004.УКПГ.000.1029.707-ТХ.ОЛ46-15;ЗЕЛЁНЫЙ;False;False;;Клапан регулирующий антипомпажный с пневмоприводом, для надземной установки на трубопроводе DN 500, PN 8.0 МПа, климатическое исполнение ХЛ1, в комплекте переходами, ответными фланцами и крепежом Комплектация по обосновывающему документу 0108.012.П.32.1.1.0004.УКПГ.000.1029.707-ТХ.ОЛ46-15
79977;"ООО ""Смит-Изоляция"", Россия, д. Кузьмино, Смоленская обл.";Комплект заделки стыков сварных соединений трубопроводов с тепловой изоляцией из пенополиуретана КЗС(Т) 38/125 ТУ 4937-003-61424010-2015;Комплект заделки стыков сварных соединений трубопроводов с тепловой изоляцией из пенополиуретана КЗС(Т) 38/125;ЗЕЛЁНЫЙ;False;False;;Комплект заделки стыков сварных соединений трубопроводов с тепловой изоляцией из пенополиуретана КЗС(Т) 38/125
187487;"ЗАО ""Трубопроводные системы и технологии"", Россия, Москва";Муфта изолирующая монолитная для катодной защиты стальных трубопроводов ИММ-325-7,5-ХЛ ТУ 3647-006-93719333-2009 комплектация по обосновывающему документу 4550РД.4.Р.01.Гпп.2.000.Л.ОЛ25-17/1086 инв.№881033;Муфта изолирующая монолитная для катодной защиты стальных трубопроводов ИММ-325-7,5-ХЛ комплектация по обосновывающему документу 4550РД.4.Р.01.Гпп.2.000.Л.ОЛ25-17/1086 инв.№881033;ЗЕЛЁНЫЙ;False;False;;Муфта изолирующая монолитная для катодной защиты стальных трубопроводов ИММ-325-7,5-ХЛ комплектация по обосновывающему документу 4550РД.4.Р.01.Гпп.2.000.Л.ОЛ25-17/1086 инв.№881033
168208;"ОАО ""Тамбовмаш"", Россия, г. Тамбов";Вентилятор электроручной производительностью 600 м3/ч в I режиме вентиляции при работе ручного привода, при 45 об/мин. и напоре 588 Па (60 кгс/ м2), и производительностью 300 м3/ч во II режиме вентиляции при работе от электропривода при напоре 1226 Па (125 кгс/м2), электродвигатель АИР63В2 с частотой вращения n=3000 об/мин, N=0,55кВт ЭРВ-600/300 ТУ 4861-001-72424303-2013;Вентилятор электроручной производительностью 600 м3/ч в I режиме вентиляции при работе ручного привода, при 45 об/мин. и напоре 588 Па (60 кгс/ м2), и производительностью 300 м3/ч во II режиме вентиляции при работе от электропривода при напоре 1226 Па (125 кгс/м2), электродвигатель АИР63В2 с частотой вращения n=3000 об/мин, N=0,55кВт ЭРВ-600/300;ЗЕЛЁНЫЙ;False;False;;Вентилятор электроручной производительностью 600 м3/ч в I режиме вентиляции при работе ручного привода, при 45 об/мин. и напоре 588 Па (60 кгс/ м2), и производительностью 300 м3/ч во II режиме вентиляции при работе от электропривода при напоре 1226 Па (125 кгс/м2), электродвигатель АИР63В2 с частотой вращения n=3000 об/мин, N=0,55кВт ЭРВ-600/300
192483;"АО ""Электрощит"", Россия, д.Люторецкое";"Устройство вводно-распределительное, 380В, N+PE в составе: ВА47-29-3С25-УХЛ3 - 1шт.; АД12-22С20-АС-УХЛ4 - 1шт.; АД12-22С16-АС-УХЛ4 - 3шт.; АВДТ АД12-22С10-А-УХЛ4 - 4шт. ВРУ8-11-3Н-304-31 УХЛ4 ТУ 3434-014-00379152-10";"Устройство вводно-распределительное, 380В, N+PE в составе: ВА47-29-3С25-УХЛ3 - 1шт.; АД12-22С20-АС-УХЛ4 - 1шт.; АД12-22С16-АС-УХЛ4 - 3шт.; АВДТ АД12-22С10-А-УХЛ4 - 4шт. ВРУ8-11-3Н-304-31 УХЛ4";ЗЕЛЁНЫЙ;False;False;;"Устройство вводно-распределительное, 380В, N+PE в составе: ВА47-29-3С25-УХЛ3 - 1шт.; АД12-22С20-АС-УХЛ4 - 1шт.; АД12-22С16-АС-УХЛ4 - 3шт.; АВДТ АД12-22С10-А-УХЛ4 - 4шт. ВРУ8-11-3Н-304-31 УХЛ4"
